"Area" "Mean" "StdDev" "Mode" "Min" "Max" "X" "Y" "XM" "YM" "Perim" "BX" "BY" "Width" "Height" "Major" "Minor" "Angle" "Circ" "Feret" "IntDen" "Median" "RawIntDen" "FeretX" "FeretY" "FeretAngle" "MinFeret" "AR" "Round" "Solidity" "Type"
"114" 111 29876.901 20065.192 65504 11888 65504 4297.365 988.212 4297.501 988.548 46.527 4292 981 12 14 13.312 10.616 88.498 0.644 14.56 3316336 19168 3316336 4295 981 105.945 12 1.254 0.797 0.828 "Positif"
"115" 64 28083.25 18991.306 65504 11600 65504 3754.781 992.75 3754.968 993.082 32.627 3751 987 8 12 11.339 7.186 93.463 0.755 12.369 1797328 20544 1797328 3754 999 75.964 8 1.578 0.634 0.831 "Positif"
"116" 77 28095.377 19278.179 65504 11600 65504 3516.097 994.682 3516.774 995.24 38.042 3511 989 9 12 10.652 9.204 91.361 0.669 12.728 2163344 19072 2163344 3511 998 45 9 1.157 0.864 0.851 "Positif"
"117" 72 29291.778 19567.383 65504 11584 65504 3954.264 994.944 3954.717 995.431 36.042 3949 989 10 11 10.432 8.787 82.217 0.697 11.705 2109008 21568 2109008 3952 1000 70.017 10 1.187 0.842 0.814 "Positif"
"118" 86 30055.814 19710.598 65504 11568 65504 4034.116 995.965 4034.508 996.363 46.184 4029 989 10 14 12.379 8.845 92.018 0.507 14.422 2584800 21360 2584800 4030 991 123.69 10 1.4 0.715 0.754 "Positif"
"119" 73 28160.219 19224.043 65504 11616 65504 3504.678 997.39 3505.098 997.872 41.456 3500 992 10 11 10.736 8.657 73.445 0.534 12.806 2055696 19184 2055696 3500 1002 38.66 9.803 1.24 0.806 0.798 "Positif"
"120" 47 26707.745 18841.122 65504 11648 65504 3645.521 1001.67 3645.818 1002.004 31.456 3642 996 7 10 8.908 6.718 96.825 0.597 10.44 1255264 16640 1255264 3645 996 106.699 7 1.326 0.754 0.797 "Positif"
"121" 77 29645.922 20243.748 65504 11584 65504 4316.292 1001.994 4316.612 1002.375 36.284 4311 996 10 12 11.274 8.696 87.171 0.735 12.369 2282736 20992 2282736 4315 996 104.036 10 1.297 0.771 0.824 "Positif"
"122" 28 25273.714 17956.69 65504 11584 65504 3761.893 1004.393 3762.101 1004.478 30.87 3758 1000 8 9 6.699 5.322 111.634 0.369 9.22 707664 15312 707664 3761 1009 77.471 6.345 1.259 0.794 0.615 "Positif"
"123" 55 27938.618 19292.216 65504 11648 65504 3720.645 1007.555 3720.967 1007.788 34.87 3716 1002 8 11 9.916 7.062 90.807 0.568 11.402 1536624 18496 1536624 3720 1013 74.745 8 1.404 0.712 0.786 "Positif"
"124" 156 27633.744 19140.948 65504 11568 65504 3658.032 1014.513 3658.555 1014.936 69.497 3649 1007 19 16 19.538 10.166 29.359 0.406 20.518 4310864 18256 4310864 3650 1021 43.025 12.522 1.922 0.52 0.731 "Positif"
"125" 16 23577 11911.325 11664 11664 52992 4344.438 1010.375 4344.508 1010.458 14.728 4342 1008 5 5 5.036 4.045 77.127 0.927 5.831 377232 21312 377232 4343 1013 59.036 4.919 1.245 0.803 0.8 "Positif"
"126" 66 27963.879 19253.6 65504 11568 65504 3797.318 1014.636 3797.703 1015.02 31.213 3792 1009 9 11 10.777 7.797 100.779 0.851 11.402 1845616 19360 1845616 3796 1009 105.255 8.944 1.382 0.723 0.835 "Positif"
"127" 19 24268.632 13666.847 11696 11696 52048 4222.868 1012.921 4222.921 1012.967 19.314 4221 1009 4 8 6.973 3.469 92.434 0.64 8.062 461104 19408 461104 4222 1009 97.125 4 2.01 0.498 0.776 "Positif"
"128" 89 29382.831 19609.421 65504 11664 65504 4330.331 1018.309 4330.595 1018.741 46.77 4324 1011 12 14 11.553 9.809 88.241 0.511 14.56 2615072 20640 2615072 4327 1011 105.945 11.7 1.178 0.849 0.742 "Positif"
"129" 74 29805.405 19704.144 65504 11712 65504 3629.162 1021.203 3629.791 1021.623 35.456 3623 1016 11 11 10.144 9.288 96.498 0.74 12.207 2205600 22064 2205600 3623 1018 145.008 10.607 1.092 0.916 0.8 "Positif"
"130" 120 28187.067 20163.035 65504 11584 65504 3712.025 1024.658 3712.572 1025.306 53.012 3705 1016 14 16 14.023 10.895 91.387 0.537 16.279 3382448 16864 3382448 3711 1032 79.38 12.348 1.287 0.777 0.797 "Positif"
"131" 56 28778.571 19440.644 65504 11680 65504 4234.786 1025.196 4235.255 1025.287 31.456 4231 1020 8 10 9.835 7.25 98.482 0.711 11.18 1611600 20512 1611600 4232 1020 116.565 8 1.357 0.737 0.83 "Positif"
"132" 18 24240 12662.021 11776 11776 54288 3749.556 1025.5 3749.545 1025.515 16.728 3747 1022 5 6 5.541 4.136 103.992 0.808 6.325 436320 22896 436320 3749 1022 108.435 4.919 1.34 0.746 0.783 "Positif"
"133" 85 29982.871 19856.12 65504 11600 65504 4347.806 1028.535 4348.186 1028.875 41.941 4342 1022 11 13 11.649 9.29 97.356 0.607 13.892 2548544 20496 2548544 4345 1023 120.256 10.522 1.254 0.797 0.769 "Positif"
"134" 76 29072.632 19676.599 65504 11568 65504 4153.316 1031.171 4153.645 1031.608 43.113 4148 1025 10 12 11.462 8.442 90.263 0.514 13 2209520 20864 2209520 4150 1025 112.62 9.615 1.358 0.737 0.784 "Positif"
"135" 50 26606.72 18696.865 65504 11568 65504 3600.36 1031.88 3600.57 1032.159 27.799 3597 1026 7 11 9.498 6.703 84.814 0.813 11.045 1330336 16720 1330336 3600 1026 95.194 7 1.417 0.706 0.847 "Positif"
"136" 63 27915.683 19696.006 65504 11616 65504 3988.563 1032.214 3988.765 1032.815 38.284 3984 1026 9 12 10.907 7.354 90.03 0.54 12.369 1758688 18304 1758688 3987 1026 104.036 8.549 1.483 0.674 0.754 "Positif"
"137" 39 26677.744 18564.655 65504 11696 65504 4125.115 1029.756 4125.537 1029.975 23.556 4122 1026 6 8 7.709 6.442 104.174 0.883 8.944 1040432 16576 1040432 4123 1026 116.565 6 1.197 0.836 0.897 "Positif"
"138" 60 27399.467 19718.731 65504 11584 65504 3911.3 1033.783 3911.644 1034.192 39.698 3906 1028 9 11 10.162 7.517 93.559 0.478 11.402 1643968 17264 1643968 3910 1039 74.745 8.944 1.352 0.74 0.774 "Positif"
"139" 76 27857.474 19941.491 65504 11664 65504 3586.882 1040.289 3587.307 1040.845 44.77 3581 1033 11 13 10.91 8.869 82.19 0.476 13.342 2117168 18912 2117168 3586 1033 102.995 10.776 1.23 0.813 0.727 "Positif"
"140" 94 27931.915 19414.91 65504 11616 65504 4011.968 1041.032 4012.336 1041.684 52.426 4006 1034 12 14 12.505 9.571 83.682 0.43 15 2625600 18016 2625600 4006 1046 36.87 11.126 1.307 0.765 0.726 "Positif"
"141" 37 27926.486 19553.283 65504 11936 65504 4314.446 1039.851 4314.651 1040.064 22.728 4311 1036 6 8 7.919 5.949 91.422 0.9 8.944 1033280 17456 1033280 4313 1044 63.435 6 1.331 0.751 0.881 "Positif"
"142" 90 28905.067 19225.892 65504 11696 65504 3537.789 1044.089 3538.318 1044.484 43.698 3531 1037 12 13 11.632 9.851 108.425 0.592 13.928 2601456 18736 2601456 3536 1037 111.038 10.733 1.181 0.847 0.796 "Positif"
